留言內容,llm分數,llm判定
"先看有沒有毒油啊",-0.90,負向
"不能含蓄一點嗎",-0.35,負向
"會不會太油飯太軟",-0.70,負向
"還好 只有葡萄好吃",-0.25,中性
"真的很難喝......比麥香奶茶還難喝",-1.00,負向
"滿難喝的",-0.90,負向
"沒加熱難吃",-0.85,負向
"我不推博多牛蒡天婦羅烏龍麵耶,那一塊號稱天婦羅的圓餅泡下去,整碗湯變成麵粉糊,我買了 很後悔,完全吃不下去麵條吃完,麵粉糊就撈起來丟掉了。我只能給它1分",-1.00,負向
"難喝",-0.90,負向
"包裝可愛 但真的很難喝 難得奶茶沒喝完倒掉 可怕香精味",-1.00,負向
"毛毛的好可愛,但是會捨不得帶出去怕弄髒",-0.05,中性
"我吃了 蠻好吃 不過真的不能單吃 我直接配沙拉吃",0.35,中性
"這蜂蜜味重而且太甜,比較喜歡抹茶芝芝茶凍雪糕",-0.35,負向
"用點數+1元換的蠻好吃的,不過太甜",0.35,中性
"真的普遍義大利麵比7好吃,7不難吃,但7不是味道太淡,就是味道很單調",-0.35,負向
"還好~但香辣醬炒飯比較經典",-0.25,中性
"吃過一次 還好",-0.25,中性
"不難吃但完全不開心果啊",-0.35,負向
"本身對紅豆還好~布丁的部分我是喜歡的",-0.05,中性
"普通 奶霜很少 檸檬味很分散",-0.35,負向
"太甜了喝一口就很想倒掉 可以不要有椰果",-0.85,負向
